Date,Open,High,Low,Close,Volume USDT
2022-12-31 23:00:00,1196.18,1197.43,1193.6,1196.13,7086714.366494
2022-12-31 22:00:00,1200.09,1201.11,1193.08,1196.19,11439520.362038
2022-12-31 21:00:00,1202.33,1203.0,1199.83,1200.1,4643400.989241
2022-12-31 20:00:00,1202.66,1203.71,1202.3,1202.34,4278878.767171
2022-12-31 19:00:00,1199.59,1205.61,1199.42,1202.65,7738028.80176
2022-12-31 18:00:00,1200.78,1200.99,1199.24,1199.6,4101148.641916
2022-12-31 17:00:00,1202.79,1203.0,1198.9,1200.78,9508228.846988
2022-12-31 16:00:00,1202.85,1203.92,1201.06,1202.79,5829283.561158
2022-12-31 15:00:00,1203.45,1206.35,1202.49,1202.86,9323952.479899
2022-12-31 14:00:00,1201.11,1208.46,1200.54,1203.44,20772427.083915
2022-12-31 13:00:00,1197.58,1202.42,1197.26,1201.1,12034667.602163
2022-12-31 12:00:00,1197.2,1197.96,1196.0,1197.58,6966258.344775
2022-12-31 11:00:00,1198.47,1199.0,1196.81,1197.2,5067839.886068
2022-12-31 10:00:00,1196.39,1200.23,1196.39,1198.46,8256075.859797
2022-12-31 09:00:00,1196.06,1196.73,1195.63,1196.4,3493390.524277
2022-12-31 08:00:00,1196.84,1197.69,1195.55,1196.06,6336666.646602
2022-12-31 07:00:00,1195.2,1197.26,1195.06,1196.84,5185580.998751
2022-12-31 06:00:00,1193.54,1195.34,1193.03,1195.2,4020213.363288
2022-12-31 05:00:00,1195.41,1196.18,1191.66,1193.53,6465199.52613
2022-12-31 04:00:00,1194.42,1195.83,1194.11,1195.41,3948620.821936
2022-12-31 03:00:00,1196.38,1196.57,1193.83,1194.42,4843308.373337
2022-12-31 02:00:00,1196.36,1197.4,1195.77,1196.38,4502676.591504
2022-12-31 01:00:00,1197.4,1197.87,1195.97,1196.35,4435360.107941
2022-12-31 00:00:00,1199.98,1200.49,1196.88,1197.41,6884278.233721
2022-12-30 23:00:00,1198.21,1200.63,1197.77,1199.99,8730920.553927
2022-12-30 22:00:00,1198.27,1199.86,1197.33,1198.2,6099500.440889
2022-12-30 21:00:00,1197.4,1201.63,1197.4,1198.27,21125195.030244
2022-12-30 20:00:00,1194.88,1197.41,1194.88,1197.41,9277623.05625
2022-12-30 19:00:00,1197.66,1197.97,1194.61,1194.89,7239207.442189
